2 4 29 // magic number - today's date
#
# this file gives the vibration, rotation, and energy, of all 
# levels within the ground electronic state of molecular hydrogen
# The energies are in atomic units.  Any line starting with a #
# is interpreted as a comment and ignored.  The same magic number
# appears at the start and end of the file.
#
# data are derived from
#>>refer	H2	As	Abgrall, H., Roueff, E., & Drira, I. 2000, A&AS, 141, 297-300
#
# NB the original data file did not include energies for J=0 states
# these energies were expolated from J=1 and molecular constants
#
# energies (cm-1) for vib-rot levels within the C_plus elec state
# v  	J   	"E(v,J)"
0	0	99101.26
0	1	99152.26
0	2	99276.05
0	3	99460.2
0	4	99702.94
0	5	100001.52
0	6	100336.45
0	7	100768.32
0	8	101221.32
0	9	101720.06
0	10	102288.05
0	11	102850.01
0	12	103465.26
0	13	104125.39
0	14	104797.35
0	15	105494.67
0	16	106230.89
0	17	106973.55
0	18	107741.62
0	19	108505.33
0	20	109306.95
0	21	110104.52
0	22	110905.56
0	23	111712.51
0	24	112520.14
0	25	113327.33
1	0	101410.6129 // extrapolated energies (all J=0)
1	1	101457.97
1	2	101575.38
1	3	101749.6
1	4	101977.12
1	5	102294.32
1	6	102610.91
1	7	102992.64
1	8	103420.29
1	9	103872.8
1	10	104420.69
1	11	104964.89
1	12	105523.31
1	13	106170.48
1	14	106803.75
1	15	107481.1
1	16	108159.36
1	17	108870.96
1	18	109582.77
1	19	110318.68
1	20	111047.86
1	21	111805.22
1	22	112558.86
1	23	113303.63
1	24	114065.39
1	25	114817.58
2	0	103585.4457
2	1	103629.16
2	2	103738.99
2	3	103896.55
2	4	104141.89
2	5	104403.89
2	6	104719.17
2	7	105079.36
2	8	105468.49
2	9	105956.15
2	10	106430.44
2	11	106933.52
2	12	107515.8
2	13	108081.78
2	14	108716.62
2	15	109317.85
2	16	109994.05
2	17	110625.31
2	18	111313.14
2	19	111983.14
2	20	112681.44
2	21	113358.02
2	22	114076.74
2	23	114779.73
2	24	115480.11
2	25	116180.47
3	0	105621.0486
3	1	105661.12
3	2	105784.01
3	3	105938.83
3	4	106144.39
3	5	106397.37
3	6	106693.78
3	7	107020.27
3	8	107450.82
3	9	107858.17
3	10	108301.14
3	11	108832.61
3	12	109327.5
3	13	109838.27
3	14	110447.8
3	15	111012.34
3	16	111640.94
3	17	112235.05
3	18	112885.9
3	19	113543.22
3	20	114163.49
3	21	114816.04
3	22	115471.36
3	23	116102.49
3	24	116747.07
3	25	117381.12
4	0	107544.8314
4	1	107581.26
4	2	107681.73
4	3	107829.89
4	4	108023.69
4	5	108259.65
4	6	108525.1
4	7	108898.11
4	8	109243.77
4	9	109627.74
4	10	110118.71
4	11	110537.31
4	12	111000.55
4	13	111547.83
4	14	112054.1
4	15	112631.64
4	16	113167.69
4	17	113761.31
4	18	114321.51
4	19	114925.31
4	20	115534.53
4	21	116103.92
4	22	116700.48
4	23	117288.03
4	24	117865.11
5	0	109329.1943
5	1	109361.98
5	2	109455.37
5	3	109593.12
5	4	109771.72
5	5	109977.14
5	6	110291.98
5	7	110581.87
5	8	110909.25
5	9	111239.01
5	10	111706.57
5	11	112114.69
5	12	112620.21
5	13	113054.81
5	14	113498.81
5	15	114058.3
5	16	114528.62
5	17	115103.94
5	18	115658.48
5	19	116169.48
5	20	116718.23
5	21	117259.63
5	22	117796.38
5	23	118305.17
6	0	110983.6871
6	1	111012.83
6	2	111098.59
6	3	111222.99
6	4	111367.02
6	5	111628.13
6	6	111866.86
6	7	112140.46
6	8	112428.64
6	9	112830.07
6	10	113181.42
6	11	113538.8
6	12	114013.21
6	13	114422.35
6	14	114910.41
6	15	115345.69
6	16	115844.75
6	17	116293.94
6	18	116797.21
6	19	117292.85
6	20	117738.21
6	21	118212.88
7	0	112504.86
7	1	112530.36
7	2	112602.23
7	3	112750.61
7	4	112901.46
7	5	113091.64
7	6	113314.3
7	7	113557.78
7	8	113901.68
7	9	114195.5
7	10	114515.26
7	11	114927.45
7	12	115279.81
7	13	115734.45
7	14	116092.98
7	15	117506.76
7	16	116932.43
7	17	117377.31
7	18	117766.89
7	19	118192.02
8	0	113896.1829
8	1	113918.04
8	2	113993.63
8	3	114103.81
8	4	114247.34
8	5	114421.66
8	6	114620.42
8	7	114915.62
8	8	115149.37
8	9	115422.07
8	10	115689.9
8	11	116077.3
8	12	116394.33
8	13	116784.37
8	14	117117.22
8	15	118270.86
8	16	117838.9
8	17	118213.95
9	0	115135.7757
9	1	115153.99
9	2	115222.05
9	3	115321.64
9	4	115450.75
9	5	115605.73
9	6	115773.31
9	7	116033.93
9	8	116255.13
9	9	116494.42
9	10	116813.01
9	11	117072.36
9	12	117336.02
9	13	117678.12
9	14	117943.84
10	0	116222.8486
10	1	116237.42
10	2	116297.24
10	3	116384.81
10	4	116497.87
10	5	116631.72
10	6	116842.51
10	7	117003.19
10	8	117196.08
10	9	117395.85
10	10	117663.18
10	11	117882.19
10	12	118145.29
11	0	117139.6914
11	1	117150.62
11	2	117201.46
11	3	117275.67
11	4	117370.98
11	5	117482.54
11	6	117652.9
11	7	117788.46
11	8	117943.97
11	9	118146.22
11	10	118295.57
12	0	117861.4343
12	1	117868.72
12	2	117908.84
12	3	117966.89
12	4	118040.32
12	5	118122.03
12	6	118241.44
13	0	118346.2771
13	1	118349.92
13	2	118375.19
